benchmark,STT Spectre (M),STT-enhanced Spectre (M),STT-enhanced Spectre (M+R),STT-enhanced Futuristic (M+R)
perlbench_r,0.05547913729583218,0.08045518627275347,0.21880875789604876,0.33440145809155136
gcc_r,0.040637131898092975,0.052062689310937244,0.4091617767401093,0.4631326039489146
mcf_r,0.06179612706484361,0.1117215861351875,0.25153056710313526,0.45657101079629403
omnetpp_r,0.07200898080187187,0.10799363049171679,0.33154724265317675,0.4539221885712384
xalancbmk_r,0.05881318244560574,0.08799217990514903,0.3492644491828108,0.44693909886297106
x264_r,0.26724539097867894,0.2679128851316538,0.32730094094311074,0.5152435536494125
leela_r,0.015685816454533416,0.02152784621767663,0.22499936122761097,0.5674914739094938
exchange2_r,0.05103735241319876,0.08476898603840849,0.3113527733451803,0.4776095502345002
xz_r,0.022501508360627406,0.02600844681951387,0.02395061196345446,0.055642346147216026
bwaves_r,0.002080863415232336,0.0020358938718776764,0.03636809615305992,0.1520379379420302
cactuBSSN_r,0.12451718766227024,0.1815781493405338,0.4009155675563402,0.5514059611589989
namd_r,0.09967418761333068,0.19039668896333195,0.34249985201328376,0.5069130937438465
parest_r,0.06637642753486021,0.09902104961730177,0.3288753961667079,0.4521906259555323
povray_r,0.09833894845363872,0.14347653982550546,0.3510909974432863,0.5514222920029954
lbm_r,0.0504362825316392,0.06906911650417949,0.230901187219228,0.29563591101226394
wrf_r,0.015417643383613736,0.025326524891993538,0.062004105734405006,0.1106543964398178
cam4_r,0.058022355331574536,0.08720384635691221,0.2611857556718607,0.36793135690356693
imagick_r,0.0879077515268351,0.1300128308142804,0.2462762055089927,0.47728644157691985
nab_r,0.05160354972275362,0.09505193830359088,0.37615801835395535,0.5668103343906632
fotonik3d_r,0.06814062265135234,0.13828458251387246,0.3868190263983256,0.5513863573493802
roms_r,0.07368680329032552,0.1006477678777606,0.25896004775727266,0.3481115180210153
Average,0.06863844051574815,0.10012135072400652,0.27285574938244544,0.4144161671766011
