benchmark,ipc,note
500.perlbench_r,0.641935,
502.gcc_r,0.515686,
505.mcf_r,1.503201,
520.omnetpp_r,0.781222,
523.xalancbmk_r,0.744748,
525.x264_r,1.162557,
541.leela_r,1.643778,
548.exchange2_r,1.604903,
557.xz_r,0.185632,
503.bwaves_r,0.244610,
507.cactuBSSN_r,1.203625,
508.namd_r,1.655554,
510.parest_r,0.824148,
511.povray_r,1.354082,
519.lbm_r,0.316538,
521.wrf_r,0.638619,
527.cam4_r,0.587153,
538.imagick_r,1.259468,
544.nab_r,1.651960,
549.fotonik3d_r,1.583358,
554.roms_r,0.584623,
